collection,name
S2L1C,1_TRUE_COLOR
S2L1C,2_FALSE_COLOR
S2L1C,3_NDVI
S2L1C,4_FALSE_COLOR
S2L1C,5_MOISTURE_INDEX
S2L1C,6_SWIR
S2L1C,7-NDWI
S2L1C,8_NDSI
S2L1C,9_SCENE_CLASSIFICATION
S2L1C,B01
S2L1C,B02
S2L1C,B03
S2L1C,B04
S2L1C,B05
S2L1C,B06
S2L1C,B07
S2L1C,B08
S2L1C,B8A
S2L1C,B09
S2L1C,B10
S2L1C,B11
S2L1C,B12
S2L2A,1_TRUE_COLOR
S2L2A,2_FALSE_COLOR
S2L2A,3_NDVI
S2L2A,4_FALSE_COLOR
S2L2A,5_MOISTURE_INDEX
S2L2A,6_SWIR
S2L2A,7-NDWI
S2L2A,8_NDSI
S2L2A,9_SCENE_CLASSIFICATION
S2L2A,B01
S2L2A,B02
S2L2A,B03
S2L2A,B04
S2L2A,B05
S2L2A,B06
S2L2A,B07
S2L2A,B08
S2L2A,B8A
S2L2A,B09
S2L2A,B10
S2L2A,B11
S2L2A,B12
S1-AWS-IW-VVVH,VV
S1-AWS-IW-VVVH,VH
S1-AWS-IW-VVVH,7_SAR-URBAN
S1-AWS-IW-VVVH,ENHANCED-VISUALIZATION
S1-AWS-IW-VVVH,ENHANCED-VISUALIZATION-ORTHORECTIFIED
